subject_code,subject_name
OE 040,Manufacturing Process
OE 041,Introduction to soft computing
OE 042 ,Nano Science
OE 043,Laser  System and Application
OE 044,Space Science
OE 045,Polymer  Science & Technology
OE 046,Nuclear  Science
OE 047,Material Science
OE 048,Discrete Mathematics
OE 049,Applied Linear  Algebra
ME 034,EXPERIMENTAL STRESS ANALYSIS
ME 035,ADVANCED DYNAMICS OF MACHINES
ME 036,MANAGEMENT INFORMATION SYSTEM
ME 041,TOTAL QUALITY MANAGEMENT
ME 042,THERMAL TURBO MACHINES
ME 043,MECHANICAL SYSTEM DESIGN
ME 044,TRIBOLOGY
ME 045,INDUSTRIAL ERGONOMICS
ME 046,CONCURRENT ENGINEERING
ME 051,Operations Research
ME 052,Maintenance Engineering & Management
ME 053,Design of Thermal Systems
ME 054,Advanced Synthesis of Mechanisms
ME 055,Six Sigma Methods & Applications
ME 056,Concepts of Modern Physics
ME 061,Finite Element Method
ME 062,Non-Destructive Testing
ME 063,Advanced Materials Technology
ME 064,Production & Operations Management
ME 065,Energy Management
ME 066,Fundamentals of Bio Medical Engineering
EC 301,Digital Logic Design
EC 302,Electronic Devices and Circuits
EC 303,Signals & Systems
EC 401,Microprocessors & Microcontrollers
EC 402,Electromagnetic Field Theory
EC 403 ,Electronic Measurement & Instrumentation
EC 501,Integrated Circuits
EC 502,Principles of Communication
EC 503,Microprocessors
IC 501,Control System -I
EC 504,Antenna and Wave Propagation
HU 501, Engineering Economics
EC 601,Microwave Engineering
EC 602,Digital Communication
EC 603,Integrated Circuit Technology
OE 030,Manufacturing Process
OE 031,Introduction to soft computing
OE 032,Nano Science
OE 033,Laser System and Application
OE 034,Space Science
OE 035,Polymer Science & Technology
OE 036,Nuclear Science
OE 037,Material Science
OE 038,Discrete Mathematics
OE 039,Applied Linear Algebra
OE 040,Manufacturing Process
OE 041,Introduction to soft computing
OE 042,Nano Science
OE 043,Laser System and Application
OE 044,Space Science
OE 045,Polymer Science & Technology
OE 046,Nuclear Science
OE 047,Material Science
OE 048,Discrete Mathematics
OE 039,Applied Linear Algebra
EC 702B,Data Communication Networks
EC 703,VLSI Design 
EC 801,Wireless & Mobile Communication
EC 802,Optical Network
OE 071 ,Entrepreneurship Development
OE 072 ,Quality Management
OE 073,Operation Research
OE 074,Introduction to Biotechnology
OE 075,Micro and smart systems
OE 081,Non Conventional Energy Resources
OE 082,Nonlinear Dynamic system
OE 083 ,Product Development
OE 084,Automation and Robotics
EC 031, Information Theory & Coding 
EC 032,Digital Image Processing 
EC 033,Voice Over IP
EC 034,Filter Design
EC 035,Applied Fuzzy Electronic Systems
EC 041,Electronic Switching
EC 042,Digital System Design using VHDL
EC 043,Speech Processing
EC 044,Advanced Display Technologies & Systems
EC 045,Satellite & RADAR systems
AS 301,Mathematics-III
VE 301,Universal Human Values & Professional Ethics
AS 302,Environment & Ecology
ME 303,Mechanics of Solids
CE 301,Building Materials & Construction
CE 302,Surveying
CE 303,Fluid Mechanics
AS 401,Mathematics-III
AS 402,Environment & Ecology
VE 401,Universal Human Values & Professional Ethics
CS 405,Data Structures
CE 401,Hydraulics & Hydraulic Machines
CE 402,Geoinformatics
CE 403,Structural Analysis
CE 452,Geoinformatics Lab
HU 501,Engineering Economics
CE 501,Geotechnical Engineering
CE 502,Transportation Engineering-1
CE 503,Environmental Engineering-1
CE 504,Structural Analysis-2
CE 505,Design of Concrete Structure-1
HU 601,Industrial Management
CE 601,Design of Concrete Structure-2
CE 602,"Environmental Engineering-2"
CE 603,Construction Technology & Management
CE 011,Advanced Foundation Design
CE 012,Matrix Analysis of Structures
CE 013,Environmental Management for Industries
CE 014,Principals of Town Planning and Architecture
CE 021,Advanced Concrete Design
CE 022,Earth and Earth Retaining Structure
CE 023,Transportation System and Planning
CE 024,Rural Water supply and Sanitation
OE 030,Manufacturing Process
OE 040,Manufacturing Process
OE 031,Introduction to soft computing
OE 041,Introduction to soft computing
OE 032,Nano Science
OE 042,Nano Science
OE 033,Laser System and Application
OE 043,Laser System and Application
OE 034,Space Science
OE 044,Space Science
OE 035,Polymer Science & Technology
OE 045,Polymer Science & Technology
OE 036,Nuclear Science
OE 046,Nuclear Science
OE 037,Material Science
OE 047,Material Science
OE 038,Discrete Mathematics
